호선,역명,장비종류,호기,승강기번호,운행구간,설치위치,위도,경도
2,석바위시장역,EL,1,2170-772,지하1층↔지하3층,"(B3) 시민공원역 방향 승강장 1-1 출입문 앞,(B1) 에스컬레이터 1,2호기 앞",,
2,석바위시장역,EL,2,2170-771,지하1층↔지하3층,"(B3) 인천시청역 방향 승강장 2-3 출입문 앞,(B1) 에스컬레이터 3,4호기 앞",,
2,석바위시장역,EL,3,2170-769,지상층↔지하1층,"(B1) 고객안내센터 옆,(1F) 1번 출입구 근처",,
2,석바위시장역,EL,4,2170-770,지상층↔지하1층,"(B1) 고객안내센터 옆,(1F) 2번 출입구 근처",,
2,인천시청역,EL,1,2161-460,지하1층↔지하2층 ,"(B2) 석바위시장역 방향 승강장 1-3 출입문 앞 ,(B1) 에스컬레이터 1,2호기 옆",,
2,인천시청역,EL,2,2161-491,지하1층↔지하2층 ,"(B2) 석천사거리역 방향 승강장 1-3 출입문 앞 ,(B1) 에스컬레이터 3,4호기 옆",,
2,인천시청역,EL,3,2161-489,지하3층↔지하4층 ,"(B4)간석오거리역 방향 승강장 8-4 출입문 뒤, (B3) 에스컬레이터 5호기 옆",,
2,인천시청역,EL,4,2161-490,지하3층↔지하4층 ,"(B4)예술회관역 방향 승강장 1-1 출입문 앞, (B3) 에스컬레이터 6호기 옆",,
2,인천시청역,EL,5,2161-487,지하2층↔지하3층 ,"(B3) 에스컬레이터 5호기 옆,(B2) 석바위시장역 방향 승강장 2-3 출입문 방향",,
2,인천시청역,EL,6,2161-488,지하2층↔지하3층 ,"(B3) 임대상가 옆,(B2) 석천사거리역 방향 승강장 1-1 출입문 방향",,
2,인천시청역,EL,7,2161-458,지상층↔지하1층,"(B1) 에스컬레이터 9,10호기 앞,(1F) 8번 출입구 근처",,
2,인천시청역,EL,8,2161-459,지상층↔지하1층,"(B1) 에스컬레이터 11,12호기 앞,(1F) 7번 출입구 근처",,
2,석천사거리역,EL,1,2161-495,지하1층↔지하2층 ,"(B2) 인천시청역 방향 승강장 1-3 출입문 앞 ,(B1) 에스컬레이터 1,2호기 옆",,
2,석천사거리역,EL,2,2161-494,지하1층↔지하2층 ,"(B2) 모래내시장역 방향 승강장 1-3 출입문 앞 ,(B1) 에스컬레이터 3,4호기 옆",,
2,석천사거리역,EL,3,2161-493,지상층↔지하1층,"(B1) 에스컬레이터 5,6호기 옆 ,(1F) 1번 출입구 근처",,
2,석천사거리역,EL,4,2161-492,지상층↔지하1층,"(B1) 에스컬레이터 8,9호기 옆 ,(1F) 2번 출입구 근처",,
2,모래내시장역,EL,1,2170-598,지하2층↔지하3층 ,"(B3) 석천사거리역 방향 승강장 1-3 출입문 앞 ,(B2)에스컬레이터 1,2호기 옆",,
2,모래내시장역,EL,2,2170-597,지하2층↔지하3층 ,"(B3) 만수역 방향 승강장 1-3 출입문 앞 ,(B2)에스컬레이터 3,4호기 옆",,
