dataCrtYmd,stdgCtpvSggCd,stdgEmdCd,roadNmNo,udgdYn,bmno,bsno,mvmnSn,ctpvNm,sggNm,umdNm,roadNm,chgBfrStdgCtpvSggCd,chgBfrStdgEmdCd,chgBfrRoadNmNo,chgBfrUdgdYn,chgBfrBmno,chgBfrBsno,chgBfrCtpvNm,chgBfrSggNm,chgBfrUmdNm,chgBfrRoadNm,chgRsnCd,updtSeCd,chgRsn
20211029,28260,120,4268352,0,22,8,1,인천광역시,서구,왕길동,사월로37번길,28260,120,4268352,0,8,5,인천광역시,서구,왕길동,사월로37번길,37,U,
20211117,28245,101,4265246,0,5,0,1,인천광역시,계양구,효성동,새풀로7번길,28245,101,4265243,0,8,0,인천광역시,계양구,효성동,새풀로1번길,35,C,
20211119,28200,107,3353531,0,6,0,1,인천광역시,남동구,남촌동,남촌시장로,28200,107,2000014,0,763,0,인천광역시,남동구,남촌동,비류대로,35,C,
20211119,28200,107,3353531,0,7,0,1,인천광역시,남동구,남촌동,남촌시장로,28200,107,2000014,0,763,0,인천광역시,남동구,남촌동,비류대로,35,C,건물번호 변경
20211119,28200,107,3353531,0,13,0,1,인천광역시,남동구,남촌동,남촌시장로,28200,107,2000014,0,763,0,인천광역시,남동구,남촌동,비류대로,35,C,건물번호 변경
20211119,28200,107,3353531,0,15,0,1,인천광역시,남동구,남촌동,남촌시장로,28200,107,2000014,0,763,0,인천광역시,남동구,남촌동,비류대로,35,C,건물번호 변경
20211119,28200,107,3353531,0,20,0,1,인천광역시,남동구,남촌동,남촌시장로,28200,107,2000014,0,763,0,인천광역시,남동구,남촌동,비류대로,35,C,건물번호 변경
20211119,28200,107,3353531,0,38,0,1,인천광역시,남동구,남촌동,남촌시장로,28200,107,2000014,0,763,0,인천광역시,남동구,남촌동,비류대로,35,C,건물번호 변경
20211119,28200,107,3353531,0,42,0,1,인천광역시,남동구,남촌동,남촌시장로,28200,107,2000014,0,763,0,인천광역시,남동구,남촌동,비류대로,35,C,건물번호 변경
20211122,28260,115,4268587,0,7,3,1,인천광역시,서구,원당동,원당대로819번길,28260,115,4268587,0,7,5,인천광역시,서구,원당동,원당대로819번길,35,C,
20211130,28110,128,4247130,0,35,0,1,인천광역시,중구,신흥동3가,서해대로210번길,28110,128,4247130,0,39,0,인천광역시,중구,신흥동3가,서해대로210번길,35,C,
20211207,28200,111,4259166,0,25,0,1,인천광역시,남동구,고잔동,남동동로34번길,28200,111,3153008,0,56,0,인천광역시,남동구,고잔동,남동동로,35,C,
20211213,28260,110,4268316,0,5,2,1,인천광역시,서구,석남동,봉수대로277번길,28260,110,4268316,0,5,0,인천광역시,서구,석남동,봉수대로277번길,35,C,
20211218,28177,104,4253388,0,91,0,1,인천광역시,미추홀구,도화동,송림로307번길,28177,104,4253388,0,89,0,인천광역시,미추홀구,도화동,송림로307번길,35,C,토지분할
20211223,28140,107,3150028,0,10,0,1,인천광역시,동구,송림동,화도진로,28140,107,3150007,0,2,0,인천광역시,동구,송림동,배송로,34,U,송림초교 주거환경개선사업으로 인한 도로명 폐지(예정)
20211229,28720,310,4274121,0,17,27,1,인천광역시,옹진군,북도면,시도로61번길,28720,310,4274121,0,17,21,인천광역시,옹진군,북도면,시도로61번길,35,C,
20211229,28720,370,4274213,0,31,0,1,인천광역시,옹진군,자월면,자월서로98번길,28720,370,4274213,0,37,0,인천광역시,옹진군,자월면,자월서로98번길,35,C,
20220107,28177,104,3150038,0,177,1,1,인천광역시,미추홀구,도화동,염전로,28177,104,3150038,0,177,0,인천광역시,미추홀구,도화동,염전로,35,C,필지분할
20220107,28177,104,3150038,0,179,0,1,인천광역시,미추홀구,도화동,염전로,28177,104,3150038,0,177,0,인천광역시,미추홀구,도화동,염전로,35,C,
20220110,28260,112,4268290,0,44,0,1,인천광역시,서구,가좌동,백범로934번길,28260,112,2000013,0,207,0,인천광역시,서구,가좌동,봉수대로,35,C,
20220110,28260,119,3000070,0,178,0,1,인천광역시,서구,오류동,검단로,28260,119,3000070,0,176,0,인천광역시,서구,오류동,검단로,35,C,
20250102,28237,104,3154031,0,96,0,1,인천광역시,부평구,청천동,산청로,28237,104,3154054,0,46,0,인천광역시,부평구,청천동,청중로,34,U,주출입구 변경
20220203,28260,112,3156038,0,8,0,1,인천광역시,서구,가좌동,보도진로,28260,112,3156038,0,6,0,인천광역시,서구,가좌동,보도진로,35,C,
